steps,w1,w2,w3,w4,w5,w6,second,last
123,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
124,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
125,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
126,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
127,4.670171084212152,4.845018907538018,3.505367924208449,3.978324210242734,7.404123318431396,4.020294810998095,9.951649152049184,12.114948431913794
128,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
129,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
130,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
131,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
132,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
133,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
134,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
135,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
136,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
137,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
138,4.670171084212152,4.845018907538018,3.505367924208449,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,13.078717791146106
139,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
140,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
141,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
142,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
143,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
144,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
145,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
146,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
147,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
148,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
149,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
150,4.670171084212152,4.845018907538018,5.697563558849346,5.905862928707357,7.404123318431396,4.020294810998095,9.951649152049184,14.174815608466554
