steps,w1,w2,w3,w4,w5,w6,w7,second,last
40,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
41,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
42,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
43,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
44,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
45,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
46,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
47,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
48,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
49,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
50,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
51,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
52,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
53,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
54,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
55,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
56,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
57,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
58,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,2.7998001713379095,9.976849059119104,4.340380190091427
59,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,4.16476862128058,9.976849059119104,5.022864415062762
60,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,4.16476862128058,9.976849059119104,5.022864415062762
61,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,4.16476862128058,9.976849059119104,5.022864415062762
62,1.0,4.304609807552217,1.0,1.0,1.0,2.668954164816311,4.16476862128058,9.976849059119104,5.022864415062762
63,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
64,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
65,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
66,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
67,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
68,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
69,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
70,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
71,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
72,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
73,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
74,1.0,4.304609807552217,1.0,3.0479180312463074,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.046823430685916
75,1.0,4.304609807552217,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.823393948134516
76,1.0,4.304609807552217,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.823393948134516
77,1.0,4.304609807552217,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.823393948134516
78,1.0,4.304609807552217,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,6.823393948134516
79,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,7.45977690994214
80,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,7.45977690994214
81,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,4.16476862128058,9.976849059119104,7.45977690994214
82,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
83,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
84,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
85,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
86,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
87,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
88,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
89,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
90,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
91,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
92,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
93,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
94,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
95,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
96,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
97,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
98,1.0,5.577375731167466,1.0,4.601059066143507,1.0,2.668954164816311,5.582068572914188,9.976849059119104,8.168426885758944
