steps,w1,w2,w3,w4,second,last
127,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
128,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
129,3.1023107428862167,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,8.96717158007927
130,4.345726108681123,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,9.588879262976723
131,4.345726108681123,7.0427936979877375,3.7839965788884276,6.203436099007012,9.950451510347285,9.588879262976723
132,4.345726108681123,7.0427936979877375,3.7839965788884276,6.88755374650171,9.950451510347285,9.930938086724073
133,4.345726108681123,7.0427936979877375,3.7839965788884276,6.88755374650171,9.935545346505387,9.901125759040276
134,4.345726108681123,7.0427936979877375,3.7839965788884276,6.88755374650171,9.920676448073094,9.87138796217569
135,4.345726108681123,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,9.841724509803266
136,4.345726108681123,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,9.841724509803266
137,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
138,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
139,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
140,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
141,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
142,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
143,5.4217485163724195,7.0427936979877375,3.7839965788884276,6.88755374650171,9.905844721886881,10.379735713648914
144,5.4217485163724195,7.0427936979877375,5.025089990515137,6.88755374650171,9.905844721886881,11.00028241946227
145,5.4217485163724195,7.0427936979877375,5.025089990515137,6.88755374650171,9.905844721886881,11.00028241946227
146,5.4217485163724195,7.0427936979877375,5.025089990515137,6.88755374650171,9.905844721886881,11.00028241946227
147,5.4217485163724195,7.0427936979877375,5.025089990515137,6.88755374650171,9.905844721886881,11.00028241946227
148,5.4217485163724195,7.0427936979877375,5.025089990515137,6.88755374650171,9.905844721886881,11.00028241946227
