steps,w1,w2,w3,w4,w5,second,last
197,4.530419224035473,7.48597171063978,6.60022956473818,9.714520493785724,9.430704622399544,9.815642518513346,17.01220784482604
198,4.530419224035473,7.48597171063978,6.60022956473818,9.714520493785724,9.430704622399544,9.815642518513346,17.01220784482604
199,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,9.430704622399544,9.815642518513346,17.80354728393292
200,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,9.430704622399544,9.78838887626152,17.749039999429268
201,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,9.430704622399544,9.761216994936447,17.694696236779123
202,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,9.430704622399544,9.761216994936447,17.694696236779123
203,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
204,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
205,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
206,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
207,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
208,4.530419224035473,7.48597171063978,8.182908442951945,9.714520493785724,10.407864369467328,9.761216994936447,18.183276110313017
209,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
210,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
211,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
212,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
213,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
214,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
215,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
216,4.530419224035473,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,18.66652657584436
217,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.761216994936447,19.80028432111898
218,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.731599923554143,19.74105017835437
219,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.731599923554143,19.74105017835437
220,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.731599923554143,19.74105017835437
221,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.731599923554143,19.74105017835437
222,6.797934714584707,7.48597171063978,8.182908442951945,10.68102142484841,10.407864369467328,9.731599923554143,19.74105017835437
223,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
224,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
225,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
226,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
227,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
228,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
229,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
230,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
231,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
232,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
233,6.797934714584707,7.48597171063978,8.182908442951945,11.595237854777498,10.407864369467328,9.731599923554143,20.198158393318916
234,6.797934714584707,7.48597171063978,8.182908442951945,12.343798267603436,10.407864369467328,9.731599923554143,20.572438599731885
235,6.797934714584707,7.48597171063978,8.182908442951945,12.343798267603436,10.407864369467328,9.731599923554143,20.572438599731885
236,6.797934714584707,7.48597171063978,8.182908442951945,12.343798267603436,10.407864369467328,9.731599923554143,20.572438599731885
237,6.797934714584707,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.731599923554143,20.878899232742825
238,6.797934714584707,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.731599923554143,20.878899232742825
239,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.731599923554143,21.868883377337053
240,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
241,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
242,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
243,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
244,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
245,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
246,8.777903003773165,7.48597171063978,8.182908442951945,12.956719533625312,10.407864369467328,9.699518303547206,21.80472013732318
