steps,w1,w2,w3,w4,second,last
266,6.713357546,10.10199437,10.59100466,9.915922275,9.820215093,17.30156961
267,8.038441153,10.10199437,10.59100466,9.915922275,9.820215093,17.96411141
268,8.038441153,10.10199437,10.59100466,9.915922275,9.820215093,17.96411141
269,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
270,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
271,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
272,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
273,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
274,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
275,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
276,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
277,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
278,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
279,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
280,8.038441153,10.10199437,10.59100466,10.66542203,9.820215093,18.33886129
281,8.038441153,10.10199437,11.24221343,10.66542203,9.820215093,18.66446568
282,8.038441153,10.10199437,11.24221343,10.66542203,9.820215093,18.66446568
283,8.038441153,10.10199437,11.24221343,10.66542203,9.820215093,18.66446568
284,8.038441153,10.10199437,11.24221343,10.66542203,9.820215093,18.66446568
285,8.038441153,10.10199437,11.24221343,10.66542203,9.820215093,18.66446568
286,9.232071853,10.10199437,11.24221343,10.66542203,9.820215093,19.26128103
287,9.232071853,10.10199437,11.24221343,10.66542203,9.820215093,19.26128103
288,9.232071853,10.10199437,11.24221343,10.66542203,9.820215093,19.26128103
289,9.232071853,10.10199437,11.24221343,10.66542203,9.820215093,19.26128103
290,9.232071853,10.10199437,11.85357758,10.66542203,9.820215093,19.5669631
291,9.232071853,10.10199437,11.85357758,10.66542203,9.820215093,19.5669631
292,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
293,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
294,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
295,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
296,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
297,9.232071853,10.10199437,11.85357758,11.4221013,9.820215093,19.94530274
298,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
299,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
300,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
301,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
302,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
303,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
304,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
305,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
306,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
307,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
308,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
309,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
310,9.232071853,10.10199437,12.40970302,11.4221013,9.820215093,20.22336546
311,9.232071853,10.10199437,12.40970302,12.09177215,9.820215093,20.55820088
312,9.232071853,10.10199437,12.40970302,12.09177215,9.794746785,20.50726427
313,9.232071853,10.10199437,12.40970302,12.09177215,9.794746785,20.50726427
314,9.232071853,10.10199437,12.40970302,12.09177215,9.794746785,20.50726427
315,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
316,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
317,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
318,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
319,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
320,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
321,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
322,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
323,9.232071853,10.10199437,12.40970302,12.65280955,9.794746785,20.78778297
